;;;;Lightning;DataFly;IGreedy
Quality measure;Suppression limit;Privacy model;Dataset;Value;Value;Value
Precision;0.1;(0.2)-closeness;ADULT;0.3268374834596417;0.6718152291591482;0.6718152291591482
Precision;0.1;(0.2)-closeness;CUP;0.41899009071077636;0.8630903474507664;0.8630903474507664
Precision;0.1;(0.2)-closeness;FARS;0.4984776352854528;0.5165435360875102;0.5165435360875102
Precision;0.1;(0.2)-closeness;ATUS;0.24422236263125585;0.3430992504352907;0.3430992504352907
Precision;0.1;(0.2)-closeness;IHIS;0.2824443086248203;0.6548276567734556;0.527294217281555
Precision;0.1;(0.05, 0.015)-presence;ADULT;0.16250138842608;0.7500833055648116;0.7500833055648116
Precision;0.1;(0.05, 0.015)-presence;CUP;1.0;0.8402774712281252;0.8402774712281252
Precision;0.1;(0.05, 0.015)-presence;FARS;0.3997621171572998;0.5198096937258404;0.5198096937258404
Precision;0.1;(0.05, 0.015)-presence;ATUS;0.0;0.7142751157885814;0.7142751157885814
Precision;0.1;(0.05, 0.015)-presence;IHIS;0.33971330777815145;0.5598088718521009;0.5598088718521009
Precision;0.1;(0.01)-uniqueness;ADULT;0.0967741935483871;0.0967741935483871;0.0967741935483871
Precision;0.1;(0.01)-uniqueness;CUP;0.03968253968253969;0.08730158730158731;0.08730158730158731
Precision;0.1;(0.01)-uniqueness;FARS;0.019009881731527515;0.019009881731527515;0.019009881731527515
Precision;0.1;(0.01)-uniqueness;ATUS;0.0;0.0;0.0
Precision;0.1;(0.01)-uniqueness;IHIS;0.0;0.0;0.0
